id,nombre,seccion,colonia,municipio,celular,email,latitud,longitud,segmento,canal,mensaje_tipo,fecha_contacto,encuestador
PP647-0030,Antonio Vazquez Lopez,647,Colonia Pescadores,Puerto Penasco,,antonio.78@gmail.com,31.307267,-113.551236,Multiplicadores,WhatsApp,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-02-27,Brigadista-12
PP647-0031,Antonio Moreno Gastelum,647,Fraccionamiento Penasco,Puerto Penasco,,,31.304893,-113.546746,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-02-03,Brigadista-07
PP647-0032,Jorge Acosta Esquer,647,Barrio Antiguo,Puerto Penasco,6384585314,,31.305069,-113.54881,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-06,Brigadista-12
PP647-0033,Laura Hernandez Ramos,647,La Marina,Puerto Penasco,6384768844,,31.304625,-113.551474,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-24,Brigadista-01
PP647-0034,Antonio Gastelum Lizarraga,647,Ejido Suviri,Puerto Penasco,6385093379,antonio.98@gmail.com,31.304212,-113.546195,Multiplicadores,SMS,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-01-15,Brigadista-02
PP647-0035,Diana Acosta Rodriguez,647,El Mirador,Puerto Penasco,,,31.306611,-113.550439,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-22,Brigadista-08
PP647-0036,Monica Cardenas Esquer,647,Colonia Pescadores,Puerto Penasco,6388481188,,31.304733,-113.548541,Persuasión,Email,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-03,Brigadista-08
PP647-0037,Leticia Ramos Mendoza,647,Barrio Antiguo,Puerto Penasco,6382299954,,31.306429,-113.549988,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-30,Brigadista-05
PP647-0038,Guadalupe Morales Gonzalez,647,Colonia Pescadores,Puerto Penasco,6387838382,guadalupe.69@gmail.com,31.303714,-113.550964,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-10,Brigadista-01
PP647-0039,Ricardo Ochoa Garcia,647,Ejido Coahuila,Puerto Penasco,6386009888,,31.305864,-113.547619,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-10,Brigadista-07
PP647-0040,Veronica Ibarra Lizarraga,647,Centro,Puerto Penasco,6387523941,veronica.96@gmail.com,31.304437,-113.545197,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-03-07,Brigadista-07
PP647-0041,Jorge Morales Acosta,647,Villa Bonita,Puerto Penasco,,jorge.58@gmail.com,31.302868,-113.550726,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-01,Brigadista-07
PP647-0042,Juan Martinez Ramos,647,Colonia Nuevo Penasco,Puerto Penasco,6381341919,,31.305551,-113.549427,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-30,Brigadista-03
PP647-0043,Sandra Vazquez Celaya,647,Fraccionamiento Penasco,Puerto Penasco,6382921542,,31.307599,-113.551246,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-01-25,Brigadista-05
PP647-0044,Luis Ramos Perez,647,La Marina,Puerto Penasco,6383030966,,31.305998,-113.549066,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-20,Brigadista-01
PP647-0045,Ernesto Valenzuela Garcia,647,Colonia Pescadores,Puerto Penasco,6389224219,ernesto.56@gmail.com,31.303628,-113.548821,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-24,Brigadista-08
PP647-0046,Veronica Ochoa Acosta,647,Colonia Pescadores,Puerto Penasco,6385502929,veronica.41@gmail.com,31.306127,-113.548767,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-09,Brigadista-02
PP647-0047,Ricardo Valenzuela Martinez,647,Los Medanos,Puerto Penasco,6386452832,ricardo.37@gmail.com,31.306242,-113.548648,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-06,Brigadista-05
PP647-0048,Sofia Ochoa Lizarraga,647,Barrio Antiguo,Puerto Penasco,6381289293,sofia.38@gmail.com,31.30444,-113.546569,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-09,Brigadista-12
PP647-0049,Monica Bojorquez Ibarra,647,Villa Bonita,Puerto Penasco,6386902401,,31.303617,-113.547002,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-01,Brigadista-05
PP647-0050,Patricia Cruz Morales,647,Los Medanos,Puerto Penasco,6385638893,,31.304765,-113.551206,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-04,Brigadista-09
PP647-0051,Elena Garcia Ramirez,647,Fraccionamiento del Mar,Puerto Penasco,6381763626,,31.303561,-113.549842,Persuasión,Email,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-19,Brigadista-05
PP647-0052,Leticia Perez Garcia,647,La Marina,Puerto Penasco,6388875173,,31.307053,-113.551154,Primer contacto,Email,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-05,Brigadista-03
PP647-0053,Rosa Gonzalez Zazueta,647,Los Medanos,Puerto Penasco,,rosa.90@gmail.com,31.307007,-113.55018,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-27,Brigadista-01
PP647-0054,Roberto Gastelum Esquer,647,Barrio Antiguo,Puerto Penasco,6385988757,,31.303942,-113.54782,Multiplicadores,Email,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-02-11,Brigadista-05
PP647-0055,Margarita Vazquez Hernandez,647,Fraccionamiento Penasco,Puerto Penasco,6385024269,margarita.19@gmail.com,31.306326,-113.551363,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-25,Brigadista-01
PP647-0056,Juan Ortiz Jimenez,647,La Marina,Puerto Penasco,6388617381,juan.39@gmail.com,31.304311,-113.546806,Multiplicadores,WhatsApp,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-03-15,Brigadista-05
PP647-0057,Antonio Ibarra Sanchez,647,El Mirador,Puerto Penasco,,,31.305627,-113.547303,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-14,Brigadista-05
PP647-0058,Manuel Esquer Sanchez,647,Barrio Antiguo,Puerto Penasco,,,31.306231,-113.549754,Persuasión,Visita,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-28,Brigadista-07
PP647-0059,Carmen Lopez Ibarra,647,Villa Bonita,Puerto Penasco,,,31.304476,-113.548265,Multiplicadores,Email,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-01-16,Brigadista-02
PP647-0060,Fernando Mendoza Reyes,647,Colonia Pescadores,Puerto Penasco,6389249789,,31.304649,-113.550776,Persuasión,Email,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-14,Brigadista-06
PP647-0061,Francisco Valenzuela Moreno,647,Los Medanos,Puerto Penasco,6385835492,,31.301798,-113.54965,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-09,Brigadista-09
PP647-0062,Ernesto Garcia Acosta,647,Colonia Pescadores,Puerto Penasco,6381909393,ernesto.56@gmail.com,31.306393,-113.551234,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-23,Brigadista-08
PP647-0063,Rosa Martinez Ramos,647,Fraccionamiento Penasco,Puerto Penasco,6386213522,,31.305882,-113.548746,Activación,SMS,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-02-19,Brigadista-07
PP647-0064,Manuel Bernal Mendoza,647,Colonia Pescadores,Puerto Penasco,6389094999,,31.304507,-113.545704,Activación,SMS,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-01-30,Brigadista-08
PP647-0065,Eduardo Valenzuela Bernal,647,Fraccionamiento del Mar,Puerto Penasco,6381043037,eduardo.48@gmail.com,31.302979,-113.545458,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-09,Brigadista-10
PP647-0066,Laura Gastelum Acosta,647,Villa Bonita,Puerto Penasco,6384165061,,31.304411,-113.548681,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-30,Brigadista-10
PP647-0067,Jorge Ochoa Gastelum,647,Ejido Suviri,Puerto Penasco,6383551903,,31.303905,-113.54552,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-17,Brigadista-03
PP647-0068,Diana Acosta Garcia,647,El Cholla,Puerto Penasco,6387878299,,31.304108,-113.545379,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-24,Brigadista-02
PP647-0069,Jorge Lizarraga Lopez,647,Puerto Viejo,Puerto Penasco,6384938791,,31.303693,-113.545494,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-14,Brigadista-05
PP647-0070,Carlos Perez Esquer,647,Fraccionamiento Penasco,Puerto Penasco,,,31.304064,-113.546363,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-13,Brigadista-01
PP647-0071,Claudia Ibarra Torres,647,El Mirador,Puerto Penasco,6389911492,,31.303097,-113.545982,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-27,Brigadista-03
PP647-0072,Sofia Lizarraga Torres,647,El Mirador,Puerto Penasco,6388736811,,31.30707,-113.551519,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-13,Brigadista-05
PP647-0073,Manuel Flores Gonzalez,647,Barrio Antiguo,Puerto Penasco,6386797629,,31.304279,-113.545188,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-03,Brigadista-11
PP647-0074,Elena Cruz Gastelum,647,Los Medanos,Puerto Penasco,,elena.58@gmail.com,31.304222,-113.546799,Multiplicadores,WhatsApp,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-02-20,Brigadista-06
PP647-0075,Ana Lizarraga Jimenez,647,El Mirador,Puerto Penasco,6386910964,ana.34@gmail.com,31.304972,-113.55001,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-23,Brigadista-05
PP647-0076,Claudia Ramirez Hernandez,647,La Marina,Puerto Penasco,6386481437,,31.304111,-113.549744,Persuasión,Email,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-01-26,Brigadista-04
PP647-0077,Manuel Valenzuela Sanchez,647,Barrio Antiguo,Puerto Penasco,6382263313,manuel.38@gmail.com,31.304394,-113.545761,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-11,Brigadista-11
PP647-0078,Norma Garcia Vazquez,647,Playas de Encanto,Puerto Penasco,,,31.303595,-113.545917,Persuasión,Visita,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-27,Brigadista-12
PP647-0079,Elena Moreno Sanchez,647,El Cholla,Puerto Penasco,6381760793,,31.306746,-113.551641,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-03,Brigadista-08
PP647-0080,Ricardo Acosta Celaya,647,Colonia Pescadores,Puerto Penasco,6383592464,,31.304777,-113.550316,Persuasión,Email,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-25,Brigadista-02
PP647-0081,Margarita Esquer Esquer,647,El Mirador,Puerto Penasco,,,31.305827,-113.549969,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-21,Brigadista-11
PP647-0082,Jose Rodriguez Valenzuela,647,El Mirador,Puerto Penasco,6383112652,,31.305478,-113.550491,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-01-28,Brigadista-02
PP647-0083,Roberto Valenzuela Torres,647,Centro,Puerto Penasco,,roberto.28@gmail.com,31.305113,-113.54785,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-23,Brigadista-09
PP647-0084,Jose Ramirez Garcia,647,Ejido Coahuila,Puerto Penasco,6384991829,,31.305626,-113.550782,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-16,Brigadista-03
PP647-0085,Rosa Gonzalez Ochoa,647,Barrio Antiguo,Puerto Penasco,6387074006,,31.303975,-113.55115,Multiplicadores,Email,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-01-21,Brigadista-08
PP647-0086,Jose Rodriguez Ochoa,647,Ejido Suviri,Puerto Penasco,6388151684,,31.30423,-113.548103,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-15,Brigadista-12
PP647-0087,Monica Cardenas Gastelum,647,La Marina,Puerto Penasco,,,31.305434,-113.550006,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-22,Brigadista-07
PP647-0088,Eduardo Perez Cardenas,647,Colonia Pescadores,Puerto Penasco,6386243275,,31.304199,-113.549512,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-07,Brigadista-03
PP647-0089,Miguel Rodriguez Valenzuela,647,Playas de Encanto,Puerto Penasco,6387892225,,31.303642,-113.54638,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-26,Brigadista-07
PP647-0090,Claudia Sanchez Mendoza,647,El Mirador,Puerto Penasco,,,31.306894,-113.551293,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-10,Brigadista-09
PP647-0091,Elena Valenzuela Bojorquez,647,Centro,Puerto Penasco,,elena.28@gmail.com,31.30232,-113.550064,Multiplicadores,Email,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-02-20,Brigadista-11
PP647-0092,Jose Hernandez Morales,647,Ejido Suviri,Puerto Penasco,6388043620,,31.305435,-113.551034,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-25,Brigadista-06
PP647-0093,Ana Hernandez Mendoza,647,Barrio Antiguo,Puerto Penasco,6388113787,,31.306269,-113.550928,Multiplicadores,Visita,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-02-12,Brigadista-07
PP647-0094,Elena Lopez Ortiz,647,Ejido Suviri,Puerto Penasco,6381919088,elena.48@gmail.com,31.304427,-113.54689,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-03-16,Brigadista-04
PP647-0095,Adriana Reyes Ramirez,647,Ejido Suviri,Puerto Penasco,,,31.3045,-113.551203,Persuasión,Email,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-01-29,Brigadista-09
PP647-0096,Norma Lopez Ibarra,647,Centro,Puerto Penasco,6388713396,,31.303515,-113.546971,Multiplicadores,SMS,Invitarlo a ser promotor — ya conoce a Alan y votaria por el.,2026-03-11,Brigadista-06
PP647-0097,Jose Cardenas Flores,647,Barrio Antiguo,Puerto Penasco,6387070880,jose.23@gmail.com,31.301871,-113.548904,Activación,Visita,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-01-30,Brigadista-07
PP647-0098,Elena Valenzuela Ortiz,647,Villa Bonita,Puerto Penasco,6383820798,elena.91@gmail.com,31.303801,-113.548083,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-01-22,Brigadista-09
PP647-0099,Guadalupe Ramos Perez,647,El Cholla,Puerto Penasco,6385294434,guadalupe.87@gmail.com,31.303482,-113.545134,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-24,Brigadista-11
PP647-0100,Fernando Cardenas Cardenas,647,El Cholla,Puerto Penasco,6388377995,fernando.66@gmail.com,31.304957,-113.548547,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-02-24,Brigadista-05
PP647-0101,Luis Ruiz Acosta,647,Barrio Antiguo,Puerto Penasco,,luis.57@gmail.com,31.3035,-113.547563,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-09,Brigadista-05
PP647-0102,Sandra Lopez Esquer,647,Colonia Nuevo Penasco,Puerto Penasco,6386394323,,31.304567,-113.54738,Persuasión,Visita,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-16,Brigadista-03
PP647-0103,Juan Ramos Esquer,647,Barrio Antiguo,Puerto Penasco,,,31.305524,-113.551478,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-02-23,Brigadista-03
PP647-0104,Laura Rodriguez Valenzuela,647,Puerto Viejo,Puerto Penasco,6386531293,laura.96@gmail.com,31.303744,-113.545041,Activación,SMS,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-02-08,Brigadista-05
PP647-0105,Sergio Ruiz Zazueta,647,El Cholla,Puerto Penasco,6382421349,sergio.58@gmail.com,31.305644,-113.5515,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-25,Brigadista-06
PP647-0106,Adriana Bernal Celaya,647,Centro,Puerto Penasco,,,31.305523,-113.548065,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-01-26,Brigadista-04
PP647-0107,Ernesto Lopez Valenzuela,647,El Cholla,Puerto Penasco,6387320310,ernesto.33@gmail.com,31.306501,-113.549845,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-09,Brigadista-12
PP647-0108,Sofia Esquer Jimenez,647,Barrio Antiguo,Puerto Penasco,,sofia.40@gmail.com,31.303905,-113.54875,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-03,Brigadista-08
PP647-0109,Fernando Acosta Jimenez,647,Ejido Suviri,Puerto Penasco,,,31.305745,-113.550631,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-10,Brigadista-03
PP647-0110,Claudia Perez Sanchez,647,La Marina,Puerto Penasco,,claudia.30@gmail.com,31.30549,-113.550199,Persuasión,Email,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-01,Brigadista-08
PP647-0111,Roberto Esquer Bojorquez,647,Centro,Puerto Penasco,,,31.304088,-113.550991,Persuasión,Email,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-09,Brigadista-09
PP647-0112,Roberto Martinez Cardenas,647,Playas de Encanto,Puerto Penasco,6386625238,,31.30164,-113.549147,Persuasión,SMS,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-01-23,Brigadista-01
PP647-0113,Fernando Garcia Hernandez,647,Centro,Puerto Penasco,6385293691,fernando.29@gmail.com,31.305932,-113.551057,Primer contacto,SMS,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-19,Brigadista-12
PP647-0114,Sofia Ruiz Sanchez,647,Las Conchas,Puerto Penasco,6385000351,,31.306418,-113.548861,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-06,Brigadista-10
PP647-0115,Hector Martinez Bernal,647,El Mirador,Puerto Penasco,6383408819,hector.10@gmail.com,31.307306,-113.551273,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-02-23,Brigadista-06
PP647-0116,Carmen Celaya Gonzalez,647,Centro,Puerto Penasco,6387550726,,31.305649,-113.548913,Activación,Visita,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-01-17,Brigadista-11
PP647-0117,Sergio Gonzalez Bojorquez,647,El Mirador,Puerto Penasco,6382739191,,31.30622,-113.549247,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-03,Brigadista-06
PP647-0118,Patricia Acosta Ochoa,647,Fraccionamiento Penasco,Puerto Penasco,6383262450,patricia.68@gmail.com,31.303408,-113.549409,Primer contacto,Visita,Primera presentacion — no conoce a Alan ni ha decidido.,2026-01-17,Brigadista-05
PP647-0119,Norma Ochoa Vazquez,647,Las Conchas,Puerto Penasco,6384206183,norma.16@gmail.com,31.303212,-113.549692,Activación,WhatsApp,Reforzar presencia de Alan — ya votaria pero aun no lo conoce.,2026-03-11,Brigadista-11
PP647-0120,Patricia Lizarraga Lizarraga,647,Ejido Coahuila,Puerto Penasco,6389712003,patricia.20@gmail.com,31.303739,-113.545221,Persuasión,WhatsApp,Cerrar el voto — conoce a Alan pero no ha decidido.,2026-03-02,Brigadista-07
PP647-0121,Carmen Cardenas Jimenez,647,La Marina,Puerto Penasco,6388481225,,31.303289,-113.547917,Primer contacto,WhatsApp,Primera presentacion — no conoce a Alan ni ha decidido.,2026-02-11,Brigadista-03
